Companyname,Companyid,business_development_manager,page_views,offers,orders,company_reply_rate,product_completness,total_order_value_in_euro,monetize_amount,wootric_score,total_points,Groups on Final Points,,cluster
PROREUSE SRLS,11160,Marcello Sanz,0.076183795,0.013667426,0,0.980392157,0.659444444,0,0,0,88.53450502,1,,2
Waldis UAB,1641,Oksana Senchyshyn,0.009821115,0,0,1,0.76,0,0,0,88.49105577,1,,2
Chem-Pros Net,10997,Julian Panchyrz,0.015643634,0,0,1,0.753571429,0,0,0,88.46075312,1,,2
Elif Endustriyel Kimyasallari,22663,Umut Öztürk,0.06039986,0.006833713,0,0.75,0.93,0,0,0,88.38673558,1,,2
Nobian Industrial Chemicals BV,18400,Juan Alvarado,0.013118204,0,0,1,0.7525,0,0,0,88.28091021,1,,2
Wolf Niemz - Ätherische Öle,1174,Florian Pagels,0.014661522,0.022779043,0,0.933333333,0.720333333,0,0,0,87.9722181,1,,2
Integrated Chemicals Specialties BV,2552,Juan Alvarado,0.018169063,0.011389522,0,1,0.686666667,0,0,0,87.51969084,1,,2
WESP KFT,29853,Dimitrios Ntounas,0.002104525,0.009111617,0,1,0.71,0,0,0,87.4275497,1,,2
"Cosutin Industrial Co., Limited",6393,Dimitrios Ntounas,0.037600842,0,0,1,0.71,0,0,0,87.38004209,1,,2
ATA KIMYA INŞ SAN TİC LTD ŞTİ,27960,Umut Öztürk,0.016555595,0.004555809,0,0.9,0.811111111,0,0,0,87.29449701,1,,2
GOLDEN WAY İNTERNATİONAL İTHALAT İHRACAT VE İŞDANIŞMANLIĞI LİMİTED ŞİRKETİ,8667,Umut Öztürk,0.113854788,0.045558087,0,0.8,0.647272727,0,0,0,87.16799307,1,,2
Şanlıgazi - Mehmet Özdemir Şanlıgazi Temizlik Malzemeleri,12401,Umut Öztürk,0.006453876,0.009111617,0,0.7,1,0,0,0,87.14501725,1,,2
Lithos Natural GmbH,2195,Julian Panchyrz,0.028270782,0,0,1,0.71,0,0,0,86.91353911,1,,2
IMPAG AG,23049,Florian Pagels,0.044966678,0.011389522,0,1,0.644375,0,0,0,86.74498825,1,,2
Cores Resine Srl,315,Marcello Sanz,0.008277797,0.006833713,0,1,0.698888889,0,0,0,86.7250769,1,,2
KEYSER MACKAY FRANCE ET COMPAGNIE,15874,Houcem Bakkari,0.012486847,0.006833713,0.018181818,1,0.620909091,0,0,0,86.67290311,1,,2
Azelis Deutschland Kosmetik GmbH,1555,Julian Panchyrz,0.066152227,0.013667426,0.009090909,0.976190476,0.6,0,0,0,86.66880219,1,,2
Alfa Chemicals,24327,Dimitrios Ntounas,0.027499123,0,0,1,0.7044,0,0,0,86.59495616,1,,2
Wacker Chemie AG,1259,Florian Pagels,0.016625745,0.013667426,0.009090909,1,0.607333333,0.006294196,0,0,86.37904057,1,,2
Wembley Chemicals and Supplies LTD,9769,Dimitrios Ntounas,0.016345142,0.013667426,0,0.916666667,0.736086957,0,0,0,86.18842346,1,,2
Mac World Industries Ltd,30177,Anna Ziemes,0.114345844,0,0,1,0.608873239,0,0,0,86.16095415,1,,2
Remet UK LTD,7352,Dimitrios Ntounas,0.003647843,0.002277904,0,1,0.71,0,0,0,86.13797301,1,,2
WhitChem Limited,1724,Dimitrios Ntounas,0.008698702,0,0,1,0.71,0,0,0,85.93493511,1,,2
Oqema Gmbh,853,Florian Pagels,0.382181691,0.134396355,0.027272727,0.384864865,0.300153022,0.002399017,0,0,85.93369715,1,,3
Hürkimsa Kimya San.Tic.A.Ş.,13290,Umut Öztürk,0.01360926,0.063781321,0.036363636,0.953488372,0.350869565,0,0,0,85.92735137,1,,2
INVERTIR COMERCIAL MARFRAN SL,10429,Juan Alvarado,0.021746756,0.036446469,0,1,0.550909091,0,0,0,85.92208617,1,,2
CP International Chemicals Ltd,1334,Dimitrios Ntounas,0.037670993,0.002277904,0,1,0.67,0,0,0,85.8391305,1,,2
Tricura GmbH & Co.KG,3218,Florian Pagels,0.094633462,0.01594533,0,1,0.55776699,0,0,0,85.80908867,1,,2
deleted_Samosata Manufacture,16813,Florian Pagels,0.001823921,0,0,1,0.71,0,0,0,85.59119607,1,,2
MCW Müller Chemikalien Wertstoffe GmbH,12526,Julian Panchyrz,0.036197825,0.041002278,0,0.989690722,0.521,0,0,0,85.54488293,1,,2
SIAD S.p.A.,11646,Marcello Sanz,0.084742196,0,0,1,0.625,0,0,0,85.48710979,1,,2
SPECIFIC POLYMERS,12215,Houcem Bakkari,0.038933707,0,0,1,0.670787037,0,0,0,85.48603723,1,,2
"Agrakem Quimicos, SL",2046,Juan Alvarado,0.150333216,0.034168565,0.027272727,0.75,0.56325,2.66E-05,0,0,85.47007671,1,,2
TER Chemicals – BU CASE,12029,Florian Pagels,0.01704665,0.011389522,0.009090909,1,0.6084,0,0,0,85.36841866,1,,2
REAKSİYON KİMYA,19234,Tunahan Güzel,0.139670291,0.0523918,0,0.930232558,0.42468254,0,0,0,85.20762936,1,,2
