Company Name,Company id,Count Page View,Count Search,Count Requests,Count Orders,Count Session Id,Total Order Value In Euro,Monetize Amount,Final Points,Groups on Final Points,ClusterPredicted K-means
GÜZELOĞULLARI LTD.ŞTİ,34204,0.001255405,0.002904163,0,0,0.005163511,0,0,0.466153952,3,0
ROLCO BIANIL S.A.,15296,0.001255405,0.002904163,0,0,0.005163511,0,0,0.466153952,3,0
Independant Toiletries t/a Poppypac,15498,0.000278979,0.003872217,0,0,0.005163511,0,0,0.465735348,3,0
Rudol Fabrik H.Hagemeier e.K.,34477,0.000697447,0,0,0,0.008605852,0,0,0.465164966,3,0
Quelaris,20280,0.001534384,0.007744434,0,0,0,0,0,0.463940892,3,0
Metallreiniger.de,19039,0.000976426,0.004840271,0,0,0.003442341,0,0,0.462951906,3,0
Riflex Film AB,20667,0.000976426,0.004840271,0,0,0.003442341,0,0,0.462951906,3,0
DIGBY AND NELSON LTD,27989,0.000976426,0.004840271,0,0,0.003442341,0,0,0.462951906,3,0
WasteCare Ltd.,24332,0.001394895,0.000968054,0,0,0.006884682,0,0,0.462381524,3,0
Forbo Eurocol BV,25610,0.001394895,0.000968054,0,0,0.006884682,0,0,0.462381524,3,0
"R&D Medical Products, Inc.",33034,0.001394895,0.000968054,0,0,0.006884682,0,0,0.462381524,3,0
"Huntsman Textile Effects México, S. de R.L. de C.V.",23823,0.000418468,0.001936108,0,0,0.006884682,0,0,0.461962921,3,0
Sistemas Integrales Barnizados SA,23152,0.0026503,0.004840271,0,0,0.00172117,0,0,0.460587068,3,0
Mitau Prefab,27580,0.001673874,0.005808325,0,0,0.00172117,0,0,0.460168464,3,0
Gp Detersivi di Porfidio Giovanni,34100,0.003068768,0.000968054,0,0,0.005163511,0,0,0.460016685,3,0
Interchem Ltd,17951,0.000697447,0.006776379,0,0,0.00172117,0,0,0.459749861,3,0
Neptune Sonar LTD,18134,0.000697447,0.006776379,0,0,0.00172117,0,0,0.459749861,3,0
PPG Aerospace,24531,0.002092342,0.001936108,0,0,0.005163511,0,0,0.459598082,3,0
WAVE.Consulting,27378,0.001115916,0.002904163,0,0,0.005163511,0,0,0.459179478,3,0
Linova Sas,18692,0.001394895,0.007744434,0,0,0,0,0,0.456966419,3,0
PERSTORP CHEMICALS GMBH,17595,0.001394895,0.007744434,0,0,0,0,0,0.456966419,3,0
DRIV,18752,0.001394895,0.007744434,0,0,0,0,0,0.456966419,3,0
MICROCHEM,16799,0.001394895,0.007744434,0,0,0,0,0,0.456966419,3,0
R.T.Communications Ltd.,33657,0.002789789,0.002904163,0,0,0.003442341,0,0,0.45681464,3,0
Novaplast Plastik Sanayi Ve Ticaret A.S,11692,0.001813363,0.003872217,0,0,0.003442341,0,0,0.456396036,3,0
ZOOTROFES KRITIS S.A,36038,0.001813363,0.003872217,0,0,0.003442341,0,0,0.456396036,3,0
dephyte e.K.,32496,0.001813363,0.003872217,0,0,0.003442341,0,0,0.456396036,3,0
Hagalis AG,3414,0.000278979,0.001936108,0,0,0.006884682,0,0,0.454988447,3,0
Ingralub-Lubrificantes Lda,20094,0.001534384,0.005808325,0,0,0.00172117,0,0,0.453193991,3,0
Winn and Coales Denso LTD,33969,0.001952853,0.001936108,0,0,0.005163511,0,0,0.452623608,3,0
