Company Name,Company id,Count Page View,Count Search,Count Requests,Count Orders,Count Session Id,Total Order Value In Euro,Monetize Amount,label
Unifab Chemicals,33674,0.049315451,0.151750973,0.063291139,0,0.051813472,0,0,cluster_1
TEKNO YAPI KİMYASALLARI SAN.VE TİC.A.Ş.,17073,0.034786253,0.16536965,0.053797468,0,0.089810017,0,0,cluster_1
Elif Endustriyel Kimyasallari,11141,0.035624476,0.071984436,0.082278481,0,0.067357513,0,0,cluster_1
Beaulieu International Group,22213,0.051690416,0.140077821,0.050632911,0,0.10880829,0,0,cluster_1
Ask s.a.l,32323,0.066079911,0.063229572,0.069620253,0,0.093264249,0,0,cluster_1
ALEXA KİMYA BOYA VE OTOMASYON SAN TİC A.Ş,17446,0.002235261,9.73E-04,0.07278481,0.049180328,0.005181347,0,0,cluster_0
Eurasia Trade OÜ,33096,0.059793238,0.044747082,0.088607595,0,0.03626943,0,0,cluster_1
Printcolor Screen AG,27932,0.052808047,0.188715953,0.009493671,0,0.214162349,0,0,cluster_2
SBZ Corporation Ltd,27691,0.035624476,0.022373541,0.009493671,0,0.397236615,0,0,cluster_2
Betek Boya San Tic A.S,6815,0.036742107,0.098249027,0.041139241,0.016393443,0.127806563,0,0,cluster_1
ALFA Klebstoffe AG,17373,0.035624476,0.121595331,0.028481013,0.049180328,0.02417962,0,0,cluster_1
Gluecom Nv,15388,0.045822856,0.128404669,0.028481013,0.016393443,0.138169257,0,0,cluster_1
Erkim Gıda Pazarlama Kimya San. ve Tic A.Ş.,25439,0.044286113,0.04766537,0.075949367,0,0.094991364,0,0,cluster_1
Colorplas Ltd,20867,0.005588153,0.005836576,0.015822785,0.098360656,0.022452504,0,0,cluster_0
DERYPOL,18330,0.006985191,0.030155642,0.063291139,0.032786885,0.020725389,0.024192258,0,cluster_0
Tehnohemija a.d.,15926,0.039256776,0.205252918,0.047468354,0,0.053540587,0,0,cluster_1
Quimar Industrias Quimicas Ltda,1439,0.16568874,0.257782101,0,0,0.063903282,0,0,cluster_2
Direct Pharma SP. z o.o.,4007,0.04051411,0.029182879,0.101265823,0,0.01208981,0,0,cluster_1
First National Company Plc.,1508,0.164151998,0.0807393,0,0,0.2417962,0,0,cluster_2
Max Perlès,19052,0.055602123,0.068093385,0.056962025,0,0.134715026,0,0,cluster_1
Tradebe Chemicals,33136,0.06021235,0.049610895,0.066455696,0,0.110535406,0,0,cluster_1
"PinoPine, Produtos Quimicos SA",2411,0.049036044,0.11770428,0.034810127,0.016393443,0.112262522,0,0,cluster_1
"NOREL, S.A.",19949,0.04414641,0.119649805,0.047468354,0,0.127806563,0,0,cluster_1
Univar Solutions AB,10676,0.0291981,0.083657588,0.050632911,0.016393443,0.093264249,0.002785775,0,cluster_1
XiMo Hungary Kft.,3065,0.03101425,0.045719844,0.056962025,0.032786885,0.041450777,3.33E-04,0,cluster_1
Teca-Print Kft.,17559,0.05001397,0.046692607,0.041139241,0.032786885,0.069084629,0.007592237,0,cluster_1
"COMERCIAL COLL VILA 324,S.L.",3011,0.061050573,0.017509728,0.018987342,0.049180328,0.077720207,0.023512476,0,cluster_1
Cowa Thermal Solutions AG,22615,0.04414641,0.071984436,0.060126582,0,0.119170984,0,0,cluster_1
